Dataset_sequence_ID,Data.entry,Cave.data.series,Biogeographical.realm,Continent,Biome classification,Country.record,Cave.site,Lattitude,Longitude,Species.name
1,BC 002,S 001,Afrotropical,Africa,TSGS,South Africa,Umkomaas,-30.21667,30.86667,Otomops martiensseni
2,BC 003,S 001,Afrotropical,Africa,TSMB,South Africa,Tongaat,-29.55556,31.13333,Otomops martiensseni
3,BC 004,S 001,Afrotropical,Africa,TSMB,South Africa,Ballito,-29.53333,31.21667,Otomops martiensseni
4,BC 005,S 002,Afrotropical,Africa,TSDB,Madagascar,PNTB,-19.11667,44.93333,Miniopterus gleni
5,BC 006,S 002,Afrotropical,Africa,TSDB,Madagascar,PNTB,-19.11667,44.93333,Myotis goudoti
6,BC 007,S 002,Afrotropical,Africa,TSDB,Madagascar,PNTB,-19.11667,44.93333,Emballonura sp.
7,BC 008,S 002,Afrotropical,Africa,TSDB,Madagascar,PNTB,-19.11667,44.93333,Otomops madagascariensis
8,BC 009,S 002,Afrotropical,Africa,TSDB,Madagascar,PNTB,-19.11667,44.93333,Triaenops rufus
9,BC 010,S 002,Afrotropical,Africa,TSDB,Madagascar,PNTB,-19.11667,44.93333,Rousettus madagascariensis
10,BC 011,S 003,Afrotropical,Africa,TSDB,Madagascar,Anjohikinakina cave,-19.00983,44.76767,Otomops madagascariensis
11,BC 012,S 003,Afrotropical,Africa,DES,Madagascar,Namaza canyon,-22.54,45.38,Otomops madagascariensis
12,BC 013,S 004,Afrotropical,Africa,MAN,Kenya,Watamu,-3.35122,40.01528,Rousettus aegyptiacus
13,BC 014,S 004,Afrotropical,Africa,MAN,Kenya,Pangayambo,-3.32241,40.02377,Cardioderma cor
14,BC 015,S 004,Afrotropical,Africa,MAN,Kenya,Kaboga,-3.33451,40.03076,Coleura afra
15,BC 016,S 004,Afrotropical,Africa,MAN,Kenya,Kaboga,-3.33451,40.03076,Macronycteris vittatus
16,BC 017,S 004,Afrotropical,Africa,MAN,Kenya,Kaboga,-3.33451,40.03076,Triaenops afer
17,BC 018,S 004,Afrotropical,Africa,MAN,Kenya,Kaboga,-3.33451,40.03076,Miniopterus africanus
18,BC 019,S 004,Afrotropical,Africa,MAN,Kenya,Kaboga,-3.33451,40.03076,Miniopterus minor
19,BC 020,S 004,Afrotropical,Africa,MAN,Kenya,Kaboga,-3.33451,40.03076,Taphozous hildegardeae
20,BC 021,S 004,Afrotropical,Africa,MAN,Kenya,Makuruhu,-3.32319,40.04153,Coleura afra
21,BC 022,S 004,Afrotropical,Africa,MAN,Kenya,Makuruhu,-3.32319,40.04153,Hipposideros caffer
22,BC 023,S 004,Afrotropical,Africa,MAN,Kenya,Makuruhu,-3.32319,40.04153,Triaenops afer
23,BC 024,S 004,Afrotropical,Africa,MAN,Kenya,Makuruhu,-3.32319,40.04153,Miniopterus africanus
24,BC 025,S 004,Afrotropical,Africa,MAN,Kenya,Makuruhu,-3.32319,40.04153,Miniopterus minor
25,BC 026,S 004,Afrotropical,Africa,MAN,Kenya,Makuruhu,-3.32319,40.04153,Taphozous hildegardeae
26,BC 027,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Nam 2,18.03333,104.4,Hipposideros armiger
27,BC 028,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Der Som,18.03333,104.4,Aselliscus stoliczkanus
28,BC 029,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Der Som,18.03333,104.4,Hipposideros armiger
29,BC 030,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Der Som,18.03333,104.4,Rhinolophus subbadius
30,BC 031,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Pha Tok,18.03333,104.41667,Megaerops niphanae
31,BC 032,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Pha Tok,18.03333,104.41667,Hypsugo pulveratus
32,BC 033,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Pha Tok,18.03333,104.41667,Ia io
33,BC 034,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Pha Tok,18.03333,104.41667,Lyroderma lyra
34,BC 035,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Pha Tok,18.03333,104.41667,Rousettus amplexicaudatus
35,BC 036,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Pha Tok,18.03333,104.41667,Rhinolophus macrotis
36,BC 037,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam En,18.02778,104.43056,Eonycteris spelaea
37,BC 038,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam En,18.02778,104.43056,Myotis siligorensis
38,BC 039,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam En,18.02778,104.43056,Hipposideros armiger
39,BC 040,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam En,18.02778,104.43056,Hipposideros diadema
40,BC 041,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam En,18.02778,104.43056,Rousettus amplexicaudatus
41,BC 042,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Nong Seng,18.08889,104.47639,Hipposideros armiger
42,BC 043,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Nong Seng,18.08889,104.47639,Rhinolophus luctus
43,BC 044,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Kokhair,18.07361,104.47778,Hipposideros diadema
44,BC 045,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Kokhair,18.07361,104.47778,Myotis siligorensis
45,BC 046,S 005,Indomalayan,Asia,TSMB,Laos DPR,Ban Kenghot,18.07083,104.49028,Cynopterus sphinx
46,BC 047,S 005,Indomalayan,Asia,TSMB,Laos DPR,Ban Kenghot,18.07083,104.49028,Aselliscus stoliczkanus
47,BC 048,S 005,Indomalayan,Asia,TSMB,Laos DPR,Ban Kenghot,18.07083,104.49028,Rhinolophus malayanus
48,BC 049,S 005,Indomalayan,Asia,TSMB,Laos DPR,Nam Hinboun Camp,18.04722,104.51583,Hipposideros larvatus
49,BC 050,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Thea,18.14833,104.51583,Eonycteris spelaea
50,BC 051,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Thea,18.14833,104.51583,Hipposideros larvatus
